osm_id|category|type|name|int_name|street|housenumber|postcode|city|country|phone|fax|email|website|opening_hours
W453382180|TRANSPORT|FUEL|Jet||Rhinstraße|240|13055.0|Berlin|DE|||||
N106982118|TRANSPORT|FUEL|Tamoil||Alt-Friedrichsfelde|61|10315.0|Berlin|DE|+49 30 5129124||||
W151820193|TRANSPORT|FUEL|Agip||Halenseestraße|47|14055.0|Berlin|DE|+49303024929|||http://www.eni.com|
N3241436496|TRANSPORT|FUEL|Elan||Storkower Straße|116|10407.0|Berlin|DE|+49 30 4217562||||
W242133422|TRANSPORT|FUEL|ESSO||Seydlitzstraße|20|12247.0|Berlin|DE|+49 30 772 80 58||||
N529686827|TRANSPORT|FUEL|Aral Tankstelle||Hauptstraße|86|12159.0|Berlin|DE|+49 30 8515286|||http://www.aral.de|
N76474858|TRANSPORT|FUEL|Shell Tankstelle||Bundesallee|200|10717.0|Berlin|DE|+49 30 2112352|||http://www.shell.de|
W51801043|TRANSPORT|FUEL|Shell Tankstelle||Oranienstraße|138|10969.0|Berlin|DE|+49 30 6145866|||http://www.shell.de|
N68363395|TRANSPORT|FUEL|Aral Tankstelle||Vor dem Schlesischen Tor|2|10997.0|Berlin|DE|+49 30 61286590|||http://www.aral.de/tankstelle/berlin/vor_dem_schlesischen_tor/11034600.html|
N808169779|TRANSPORT|FUEL|Shell||Ollenhauerstraße|101|13403.0|Berlin|DE|+49 30 41700522|||http://www.shell.de|
N270814683|TRANSPORT|FUEL|Aral||Argentinische Allee|49|14163.0|Berlin|DE|030 81496169|||http://www.aral.de/tankstelle/berlin/argentinische_allee/11022200.html|
N255328663|TRANSPORT|FUEL|Shell Tankstelle||Spandauer Damm|151|14050.0|Berlin|DE|030 3040525|||http://www.shell.de|
N271882472|TRANSPORT|FUEL|Shell||Karl-Marx-Straße|267|12057.0|Berlin|DE|+49 30 6852016|||http://www.shell.de|
